Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Status
mirai,Mirai Extrait de Parfum,"Zesty Lemon, Lavender, Earthy Patchouli",SENTIRE By PC,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes,Perfume,"Extrait de Parfum, Luxury",TRUE,Size,30 ML,MIRAI-30ML,300,,1000,continue,manual,1199,1809,TRUE,TRUE,active
mirai,Mirai Extrait de Parfum,"Zesty Lemon, Lavender, Earthy Patchouli",SENTIRE By PC,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes,Perfume,"Extrait de Parfum, Luxury",TRUE,Size,50 ML,MIRAI-50ML,500,,1000,continue,manual,1679,2349,TRUE,TRUE,active
personna,Personna Extrait de Parfum,"Rich Spices, Leather Accord, Smoky Woods",SENTIRE By PC,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes,Perfume,"Extrait de Parfum, Luxury",TRUE,Size,10 ML,PERSONNA-10ML,100,,1000,continue,manual,550,779,TRUE,TRUE,active
personna,Personna Extrait de Parfum,"Rich Spices, Leather Accord, Smoky Woods",SENTIRE By PC,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes,Perfume,"Extrait de Parfum, Luxury",TRUE,Size,30 ML,PERSONNA-30ML,300,,1000,continue,manual,1290,1809,TRUE,TRUE,active
personna,Personna Extrait de Parfum,"Rich Spices, Leather Accord, Smoky Woods",SENTIRE By PC,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes,Perfume,"Extrait de Parfum, Luxury",TRUE,Size,50 ML,PERSONNA-50ML,500,,1000,continue,manual,1888,2659,TRUE,TRUE,active
purple-oud,Purple Oud Extrait de Parfum,"Smoky Cambodian Oud, Fiery Saffron, Amethyst Rose",SENTIRE By PC,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes,Perfume,"Extrait de Parfum, Luxury",TRUE,Size,10 ML,PURPLE-OUD-10ML,100,,1000,continue,manual,659,779,TRUE,TRUE,active
purple-oud,Purple Oud Extrait de Parfum,"Smoky Cambodian Oud, Fiery Saffron, Amethyst Rose",SENTIRE By PC,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes,Perfume,"Extrait de Parfum, Luxury",TRUE,Size,30 ML,PURPLE-OUD-30ML,300,,1000,continue,manual,1199,1409,TRUE,TRUE,active
purple-oud,Purple Oud Extrait de Parfum,"Smoky Cambodian Oud, Fiery Saffron, Amethyst Rose",SENTIRE By PC,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes,Perfume,"Extrait de Parfum, Luxury",TRUE,Size,50 ML,PURPLE-OUD-50ML,500,,1000,continue,manual,1489,1859,TRUE,TRUE,active
rich,Rich Extrait de Parfum,"Opulent Bergamot, Spiced Rose, Velvet Amber Musk",SENTIRE By PC,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes,Perfume,"Extrait de Parfum, Luxury",TRUE,Size,10 ML,RICH-10ML,100,,1000,continue,manual,559,779,TRUE,TRUE,active
rich,Rich Extrait de Parfum,"Opulent Bergamot, Spiced Rose, Velvet Amber Musk",SENTIRE By PC,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes,Perfume,"Extrait de Parfum, Luxury",TRUE,Size,30 ML,RICH-30ML,300,,1000,continue,manual,1287,1809,TRUE,TRUE,active
rich,Rich Extrait de Parfum,"Opulent Bergamot, Spiced Rose, Velvet Amber Musk",SENTIRE By PC,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes,Perfume,"Extrait de Parfum, Luxury",TRUE,Size,50 ML,RICH-50ML,500,,1000,continue,manual,1593,2259,TRUE,TRUE,active
seductive,Seductive Extrait de Parfum,"Citric Limon, Fresh Lavender, Velvet Amber",SENTIRE By PC,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes,Perfume,"Extrait de Parfum, Luxury",TRUE,Size,10 ML,SEDUCTIVE-10ML,100,,1000,continue,manual,459,649,TRUE,TRUE,active
seductive,Seductive Extrait de Parfum,"Citric Limon, Fresh Lavender, Velvet Amber",SENTIRE By PC,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes,Perfume,"Extrait de Parfum, Luxury",TRUE,Size,30 ML,SEDUCTIVE-30ML,300,,1000,continue,manual,999,1409,TRUE,TRUE,active
seductive,Seductive Extrait de Parfum,"Citric Limon, Fresh Lavender, Velvet Amber",SENTIRE By PC,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes,Perfume,"Extrait de Parfum, Luxury",TRUE,Size,50 ML,SEDUCTIVE-50ML,500,,1000,continue,manual,1149,2099,TRUE,TRUE,active
white-oud,White Oud Extrait de Parfum,"Essence of Oud, Pink Pepper, Luminous Amber",SENTIRE By PC,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes,Perfume,"Extrait de Parfum, Luxury",TRUE,Size,10 ML,WHITE-OUD-10ML,100,,1000,continue,manual,659,779,TRUE,TRUE,active
white-oud,White Oud Extrait de Parfum,"Essence of Oud, Pink Pepper, Luminous Amber",SENTIRE By PC,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes,Perfume,"Extrait de Parfum, Luxury",TRUE,Size,30 ML,WHITE-OUD-30ML,300,,1000,continue,manual,1493,2099,TRUE,TRUE,active
white-oud,White Oud Extrait de Parfum,"Essence of Oud, Pink Pepper, Luminous Amber",SENTIRE By PC,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes,Perfume,"Extrait de Parfum, Luxury",TRUE,Size,50 ML,WHITE-OUD-50ML,500,,1000,continue,manual,2889,4069,TRUE,TRUE,active
