id,item_group_id,title,description,availability,condition,price,link,image_link,brand,google_product_category,fb_product_category,size,gender,age_group,identifier_exists,shipping,custom_label_0
white-oud-50,white-oud,White Oud Extrait De Parfum (50ml),Precious white oud luxury extrait de parfum. Size: 50ml.,in stock,new,2889.00 INR,https://sentirebypc.com/perfumes/white-oud/50ml,https://sentirebypc.com/assets/perfumes/white-oud-50ml-1.jpg,SENTIRE By PC,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,health & beauty > personal care > cosmetics > perfume & cologne,50ml,unisex,adult,no,IN::Standard:0.00 INR,Woody
zephyrine-10,zephyrine,Zephyrine Extrait De Parfum (10ml),Bespoke luxury floral extrait de parfum. Size: 10ml.,in stock,new,799.00 INR,https://sentirebypc.com/perfumes/zephyrine/10ml,https://sentirebypc.com/assets/perfumes/zephyrine-10ml-1.jpg,SENTIRE By PC,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,health & beauty > personal care > cosmetics > perfume & cologne,10ml,unisex,adult,no,IN::Standard:0.00 INR,Floral
zephyrine-30,zephyrine,Zephyrine Extrait De Parfum (30ml),Bespoke luxury floral extrait de parfum. Size: 30ml.,in stock,new,1499.00 INR,https://sentirebypc.com/perfumes/zephyrine/30ml,https://sentirebypc.com/assets/perfumes/zephyrine-30ml-1.jpg,SENTIRE By PC,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,health & beauty > personal care > cosmetics > perfume & cologne,30ml,unisex,adult,no,IN::Standard:0.00 INR,Floral
bijou-10,bijou,Bijou Extrait De Parfum (10ml),Artisanal floral luxury extrait de parfum. Size: 10ml.,in stock,new,799.00 INR,https://sentirebypc.com/perfumes/bijou/10ml,https://sentirebypc.com/assets/perfumes/bijou-10ml-1.jpg,SENTIRE By PC,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,health & beauty > personal care > cosmetics > perfume & cologne,10ml,unisex,adult,no,IN::Standard:0.00 INR,Floral
bijou-30,bijou,Bijou Extrait De Parfum (30ml),Artisanal floral luxury extrait de parfum. Size: 30ml.,in stock,new,1499.00 INR,https://sentirebypc.com/perfumes/bijou/30ml,https://sentirebypc.com/assets/perfumes/bijou-30ml-1.jpg,SENTIRE By PC,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,health & beauty > personal care > cosmetics > perfume & cologne,30ml,unisex,adult,no,IN::Standard:0.00 INR,Floral
dapper-10,dapper,Dapper Extrait De Parfum (10ml),Crisp fresh luxury extrait de parfum. Size: 10ml.,in stock,new,799.00 INR,https://sentirebypc.com/perfumes/dapper/10ml,https://sentirebypc.com/assets/perfumes/dapper-10ml-1.jpg,SENTIRE By PC,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,health & beauty > personal care > cosmetics > perfume & cologne,10ml,unisex,adult,no,IN::Standard:0.00 INR,Fresh
dapper-30,dapper,Dapper Extrait De Parfum (30ml),Crisp fresh luxury extrait de parfum. Size: 30ml.,in stock,new,1499.00 INR,https://sentirebypc.com/perfumes/dapper/30ml,https://sentirebypc.com/assets/perfumes/dapper-30ml-1.jpg,SENTIRE By PC,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,health & beauty > personal care > cosmetics > perfume & cologne,30ml,unisex,adult,no,IN::Standard:0.00 INR,Fresh
le-chocolat-10,le-chocolat,Le Chocolat Extrait De Parfum (10ml),Indulgent gourmet cocoa extrait de parfum. Size: 10ml.,in stock,new,799.00 INR,https://sentirebypc.com/perfumes/le-chocolat/10ml,https://sentirebypc.com/assets/perfumes/le-chocolat-10ml-1.jpg,SENTIRE By PC,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,health & beauty > personal care > cosmetics > perfume & cologne,10ml,unisex,adult,no,IN::Standard:0.00 INR,Oriental
le-chocolat-30,le-chocolat,Le Chocolat Extrait De Parfum (30ml),Indulgent gourmet cocoa extrait de parfum. Size: 30ml.,in stock,new,1499.00 INR,https://sentirebypc.com/perfumes/le-chocolat/30ml,https://sentirebypc.com/assets/perfumes/le-chocolat-30ml-1.jpg,SENTIRE By PC,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,health & beauty > personal care > cosmetics > perfume & cologne,30ml,unisex,adult,no,IN::Standard:0.00 INR,Oriental
pc-leather-10,pc-leather,PC Leather Extrait De Parfum (10ml),Sophisticated leather extrait de parfum. Size: 10ml.,in stock,new,799.00 INR,https://sentirebypc.com/perfumes/pc-leather/10ml,https://sentirebypc.com/assets/perfumes/pc-leather-10ml-1.jpg,SENTIRE By PC,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,health & beauty > personal care > cosmetics > perfume & cologne,10ml,unisex,adult,no,IN::Standard:0.00 INR,Woody
